phecode,description,phecode_exclude_range,sex,rollup,leaf,groupnum,group,color,phecode_exclude_description,n_cases,n_controls
686.5,Pyoderma,680-686.99,Both,0,1,13,dermatologic,firebrick, Skin and subcutaneous tissue infections,42,397626
687,Symptoms affecting skin,687-687.99,Both,1,0,13,dermatologic,firebrick, Symptoms affecting skin,604,403405
687.1,Rash and other nonspecific skin eruption,687-687.99,Both,0,1,13,dermatologic,firebrick, Symptoms affecting skin,2157,403405
687.2,"Localized superficial swelling, mass, or lump",687-687.99,Both,1,0,13,dermatologic,firebrick, Symptoms affecting skin,284,403405
687.3,Changes in skin texture,687-687.99,Both,1,1,13,dermatologic,firebrick, Symptoms affecting skin,108,403405
687.4,Disturbance of skin sensation,687-687.99,Both,0,1,13,dermatologic,firebrick, Symptoms affecting skin,2900,403405
689,Disorder of skin and subcutaneous tissue NOS,689-689.99,Both,1,1,13,dermatologic,firebrick, Other skin disorders NOS,5783,403176
690,Erythematosquamous dermatosis,690-697.99,Both,1,0,13,dermatologic,firebrick, Other inflammatory condition of skin,72,402667
690.1,Seborrheic dermatitis,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,53,402667
691,Congenital anomalies of skin,690-697.99,Both,1,0,13,dermatologic,firebrick, Other inflammatory condition of skin,120,402667
691.1,Ichthyosis congenita,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,10,402667
691.3,Congenital pigmentary anomalies of skin,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,22,402667
694,Dyschromia and Vitiligo,690-697.99,Both,1,0,13,dermatologic,firebrick, Other inflammatory condition of skin,987,402667
694.1,Vitiligo,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,60,402667
694.2,Other dyschromia,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,783,402667
694.3,Vascular disorders of skin,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,117,402667
695,Erythematous conditions,690-697.99,Both,1,0,13,dermatologic,firebrick, Other inflammatory condition of skin,2420,402667
695.1,Toxic erythema,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,109,402667
695.2,Bullous dermatoses,690-697.99,Both,1,0,13,dermatologic,firebrick, Other inflammatory condition of skin,141,402667
695.21,Dermatitis herpetiformis,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,57,402667
695.22,Pemphigus and pemphigoid,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,75,402667
695.3,Rosacea,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,310,402667
695.4,Lupus (localized and systemic),"690-697.99, 335-335.99",Both,1,0,13,dermatologic,firebrick," other inflammatory condition of skin, MS",418,401359
695.41,Cutaneous lupus erythematosus,"690-697.99, 335-335.99",Both,1,1,13,dermatologic,firebrick," other inflammatory condition of skin, MS",130,401359
695.42,Systemic lupus erythematosus,"690-697.99, 335-335.99",Both,1,1,13,dermatologic,firebrick," other inflammatory condition of skin, MS",342,401359
695.7,Prurigo and Lichen,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,779,402667
695.8,Other specified erythematous conditions,690-697.99,Both,1,0,13,dermatologic,firebrick, Other inflammatory condition of skin,244,402667
695.81,Erythema nodosum,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,76,402667
695.9,Unspecified erythematous condition,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,468,402667
696,Psoriasis and related disorders,"690-697.99, 714-714.99",Both,1,0,13,dermatologic,firebrick,,2293,398193
696.2,Parapsoriasis,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,18,402667
696.3,Pityriasis,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,47,402667
696.4,Psoriasis,"690-697.99, 714-714.99",Both,1,0,13,dermatologic,firebrick,,2237,398193
696.41,Psoriasis vulgaris,"690-697.99, 714-714.99",Both,1,1,13,dermatologic,firebrick,,1684,398193
696.42,Psoriatic arthropathy,"690-697.99, 714-714.99",Both,1,1,13,dermatologic,firebrick,,708,398193
697,Sarcoidosis,690-697.99,Both,1,1,13,dermatologic,firebrick, Other inflammatory condition of skin,551,402667
698,Pruritus and related conditions,698-699.99,Both,1,1,13,dermatologic,firebrick, Pruritic conditions,783,408176
700,Corns and callosities,700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,293,403874
701,Other hypertrophic and atrophic conditions of skin,700-701.99,Both,1,0,13,dermatologic,firebrick, hypertrophic skin conditions,4803,403874
701.1,"Keratoderma, acquired",700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,87,403874
701.2,Scar conditions and fibrosis of skin,700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,2355,403874
701.3,Circumscribed scleroderma,700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,61,403874
701.4,Keloid scar,700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,216,403874
701.5,Abnormal granulation tissue,700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,457,403874
701.6,Acquired acanthosis nigricans,700-701.99,Both,1,1,13,dermatologic,firebrick, hypertrophic skin conditions,102,403874
702,Degenerative skin conditions and other dermatoses,700-702.99,Both,1,0,13,dermatologic,firebrick, Other hypertrophic and atrophic conditions of skin,5522,398745
702.1,Actinic keratosis,702-702.99,Both,1,1,13,dermatologic,firebrick,,2594,403437
702.2,Seborrheic keratosis,702-702.99,Both,1,1,13,dermatologic,firebrick,,3092,403437
702.4,Degenerative skin disorders,700-702.99,Both,1,1,13,dermatologic,firebrick, Other hypertrophic and atrophic conditions of skin,5,398745
703,"Diseases of nail, NOS",703-704.99,Both,1,1,13,dermatologic,firebrick, Diseases of hair and nails,355,402355
703.1,Ingrowing nail,703-704.99,Both,0,1,13,dermatologic,firebrick, Diseases of hair and nails,970,402355
704,Diseases of hair and hair follicles,703-704.99,Both,1,0,13,dermatologic,firebrick, Diseases of hair and nails,5315,402355
704.1,Alopecia,703-704.99,Both,1,0,13,dermatologic,firebrick, Diseases of hair and nails,127,402355
704.11,Alopecia Areata,703-704.99,Both,1,1,13,dermatologic,firebrick, Diseases of hair and nails,13,402355
704.2,Hirsutism,703-704.99,Both,0,1,13,dermatologic,firebrick, Diseases of hair and nails,31,402355
704.8,Other specified diseases of hair and hair follicles,703-704.99,Both,1,1,13,dermatologic,firebrick, Diseases of hair and nails,76,402355
705,Disorders of sweat glands,705-706.99,Both,1,0,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,229,399253
705.1,Dyshidrosis,705-706.99,Both,1,1,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,11,399253
705.3,Hidradenitis,705-706.99,Both,1,1,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,187,399253
705.8,Hyperhidrosis,705-706.99,Both,0,1,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,592,399253
706,Diseases of sebaceous glands,705-706.99,Both,1,0,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,8948,399253
706.1,Acne,705-706.99,Both,1,1,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,78,399253
706.2,Sebaceous cyst,705-706.99,Both,1,1,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,8876,399253
706.8,Other specified diseases of sebaceous glands,705-706.99,Both,1,1,13,dermatologic,firebrick, disorders of sweat and sebaceous glands,2,399253
707,Chronic ulcer of skin,707-707.99,Both,1,0,13,dermatologic,firebrick, Chronic ulcer of skin,1992,406967
707.1,Decubitus ulcer,707-707.99,Both,1,1,13,dermatologic,firebrick, Chronic ulcer of skin,915,406967
707.2,Chronic ulcer of leg or foot,707-707.99,Both,1,1,13,dermatologic,firebrick, Chronic ulcer of skin,5,406967
707.3,Chronic ulcer of unspecified site,707-707.99,Both,1,1,13,dermatologic,firebrick, Chronic ulcer of skin,3,406967
709,Diffuse diseases of connective tissue,"690-697.99, 708-709.99",Both,1,0,13,dermatologic,firebrick,,3467,399395
709.2,Sicca syndrome,"690-697.99, 708-709.99",Both,1,1,13,dermatologic,firebrick,,513,399395
709.3,Systemic sclerosis,"690-697.99, 708-709.99",Both,1,1,13,dermatologic,firebrick,,176,399395
709.4,Polymyositis,"690-697.99, 708-709.99",Both,1,1,13,dermatologic,firebrick,,41,399395
709.5,Dermatomyositis,"690-697.99, 708-709.99",Both,1,1,13,dermatologic,firebrick,,47,399395
709.6,Other specified diffuse diseases of connective tissue,"690-697.99, 708-709.99",Both,1,1,13,dermatologic,firebrick,,65,399395
709.7,Unspecified diffuse connective tissue disease,"690-697.99, 708-709.99",Both,1,1,13,dermatologic,firebrick,,2727,399395
710,"Osteomyelitis, periostitis, and other infections involving bone",710-716.99,Both,1,0,14,musculoskeletal,darkolivegreen,Arthropathies,613,365805
710.1,Osteomyelitis,710-716.99,Both,1,0,14,musculoskeletal,darkolivegreen,Arthropathies,566,365805
710.11,Acute osteomyelitis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,27,365805
710.12,Chronic osteomyelitis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,196,365805
710.19,Unspecified osteomyelitis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,402,365805
710.3,Osteopathy resulting from poliomyelitis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,13,365805
711,Arthropathy associated with infections,710-716.99,Both,1,0,14,musculoskeletal,darkolivegreen,Arthropathies,429,365805
711.1,Pyogenic arthritis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,330,365805
711.2,Reiter's disease,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,46,365805
711.3,Behcet's syndrome,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,25,365805
712,Infective connective tissue disorders,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,82,365805
713,Arthropathy associated with other disorders classified elsewhere,710-716.99,Both,1,0,14,musculoskeletal,darkolivegreen,Arthropathies,151,365805
713.5,Arthropathy associated with neurological disorders,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,68,365805
714,Rheumatoid arthritis and other inflammatory polyarthropathies,"714-716.00, 696-696.99",Both,1,0,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,4882,365074
714.1,Rheumatoid arthritis,"714-716.00, 696-696.99",Both,1,1,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,4415,365074
714.2,Juvenile rheumatoid arthritis,"714-716.00, 696-696.99",Both,1,1,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,39,365074
715,Other inflammatory spondylopathies,"714-716.00, 696-696.99",Both,1,0,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,1671,365074
715.1,Sacroiliitis NEC,"714-716.00, 696-696.99",Both,1,1,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,113,365074
715.2,Ankylosing spondylitis,"714-716.00, 696-696.99",Both,1,1,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,620,365074
715.3,Spinal enthesopathy,"714-716.00, 696-696.99",Both,1,1,14,musculoskeletal,darkolivegreen, Autoimmune arthritis and psoriasis,22,365074
716,Other arthropathies,710-716.99,Both,1,0,14,musculoskeletal,darkolivegreen,Arthropathies,38723,365805
716.1,Unspecified polyarthropathy or polyarthritis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,3535,365805
716.2,Unspecified monoarthritis,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,15789,365805
716.8,Palindromic rheumatism,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,43,365805
716.9,Arthropathy NOS,710-716.99,Both,1,1,14,musculoskeletal,darkolivegreen,Arthropathies,37052,365805
717,Polymyalgia Rheumatica,717-717.99,Both,1,1,14,musculoskeletal,darkolivegreen, Osteoarthritis,1154,407805
720,Spinal stenosis,720-724.99,Both,1,0,14,musculoskeletal,darkolivegreen,DORSOPATHIES,3735,391910
721,Spondylosis and allied disorders,720-724.99,Both,1,0,14,musculoskeletal,darkolivegreen,DORSOPATHIES,7932,391910
721.1,Spondylosis without myelopathy,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,5077,391910
721.2,Spondylosis with myelopathy,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,190,391910
721.8,Other allied disorders of spine,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,353,391910
722,Intervertebral disc disorders,720-724.99,Both,1,0,14,musculoskeletal,darkolivegreen,DORSOPATHIES,9242,391910
722.1,Displacement of intervertebral disc,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,513,391910
722.3,Schmorl's nodes,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,33,391910
722.6,Degeneration of intervertebral disc,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,2846,391910
722.7,Intervertebral disc disorder with myelopathy,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,1,391910
722.8,Postlaminectomy syndrome,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,69,391910
722.9,Other and unspecified disc disorder,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,4435,391910
723,Other disorders of cervical region,720-724.99,Both,1,0,14,musculoskeletal,darkolivegreen,DORSOPATHIES,521,391910
723.1,Torticollis,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,107,391910
724,Other and unspecified disorders of back,720-724.99,Both,1,0,14,musculoskeletal,darkolivegreen,DORSOPATHIES,2079,391910
724.1,Disorders of sacrum,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,404,391910
724.2,Disorders of coccyx,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,407,391910
724.8,Other symptoms referable to back,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,63,391910
724.9,Other unspecified back disorders,720-724.99,Both,1,1,14,musculoskeletal,darkolivegreen,DORSOPATHIES,1619,391910
726,Peripheral enthesopathies and allied syndromes,725-729.99,Both,1,0,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",14983,378709
726.1,Enthesopathy,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",9668,378709
726.2,Synoviopathy,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",334,378709
726.3,Bursitis,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",858,378709
726.4,Calcaneal spur; Exostosis NOS,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",37,378709
727,"Other disorders of synovium, tendon, and bursa",725-729.99,Both,1,0,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",7629,378709
727.1,Synovitis and tenosynovitis,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",2753,378709
727.2,Bursitis disorders,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",107,378709
727.4,"Ganglion and cyst of synovium, tendon, and bursa",725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",3185,378709
727.5,Rupture of synovium,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",593,378709
727.6,"Rupture of tendon, nontraumatic",725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",353,378709
727.7,Contracture of tendon (sheath),725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",143,378709
727.8,Plica syndrome,725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",1,378709
728,"Disorders of muscle, ligament, and fascia",725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",3718,378709
728.1,Muscular calcification and ossification,725-729.99,Both,0,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",21,378709
728.2,Laxity of ligament or hypermobility syndrome,725-729.99,Both,0,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",416,378709
728.7,Fasciitis,725-729.99,Both,0,0,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",3843,378709
728.71,Contracture of palmar fascia [Dupuytren's disease],725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",3503,378709
729,Other disorders of soft tissues,725-729.99,Both,1,0,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",6077,378709
729.1,"Rheumatism, unspecified and fibrositis",725-729.99,Both,1,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",1010,378709
729.3,Panniculitis,725-729.99,Both,0,1,14,musculoskeletal,darkolivegreen,"Rheumatism, Excluding The Back",103,378709
731,Osteitis deformans and osteopathies associated with other disorders classified elsewhere,730-739.99,Both,1,0,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",280,391036
731.1,Osteitis deformans [Paget's disease of bone],730-739.99,Both,1,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",265,391036
732,Osteochondropathies,730-739.99,Both,1,0,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",472,391036
732.1,Juvenile osteochondrosis,730-739.99,Both,1,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",207,391036
732.7,Osteochondritis dissecans,730-739.99,Both,1,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",59,391036
733,Other disorders of bone and cartilage,730-739.99,Both,1,0,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",1794,391036
733.2,Cyst of bone,730-739.99,Both,1,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",319,391036
733.4,Aseptic necrosis of bone,730-739.99,Both,0,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",542,391036
733.6,Costochondritis,730-739.99,Both,0,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",129,391036
733.8,Malunion and nonunion of fracture,730-739.99,Both,0,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",1268,391036
733.9,Chondromalacia,730-739.99,Both,0,1,14,musculoskeletal,darkolivegreen,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES",121,391036
735,Acquired foot deformities,735-739.99,Both,1,0,14,musculoskeletal,darkolivegreen, Acquired deformities,9865,394910
735.1,Flat foot,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,193,394910
735.2,Acquired toe deformities,735-739.99,Both,1,0,14,musculoskeletal,darkolivegreen, Acquired deformities,5144,394910
735.21,Hammer toe (acquired),735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,1939,394910
735.22,Claw toe (acquired),735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,5,394910
735.23,Hallux rigidus,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,1561,394910
735.3,Hallux valgus (Bunion),735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,6699,394910
736,Other acquired deformities of limbs,735-739.99,Both,1,0,14,musculoskeletal,darkolivegreen, Acquired deformities,1649,394910
736.1,Acquired deformities of forearm,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,3,394910
736.2,Acquired deformities of finger,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,248,394910
737,Curvature of spine,735-739.99,Both,1,0,14,musculoskeletal,darkolivegreen, Acquired deformities,1135,394910
737.1,Kyphosis (acquired),735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,5,394910
737.2,Lordosis (acquired),735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,45,394910
737.3,Kyphoscoliosis and scoliosis,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,1064,394910
738,Other acquired musculoskeletal deformity,735-739.99,Both,1,0,14,musculoskeletal,darkolivegreen, Acquired deformities,1923,394910
738.4,Acquired spondylolisthesis,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,1522,394910
739,Contracture of joint,735-739.99,Both,1,1,14,musculoskeletal,darkolivegreen, Acquired deformities,489,394910
740,Osteoarthrosis,740-740.99,Both,1,0,14,musculoskeletal,darkolivegreen, osteoarthritis,28439,380520
740.1,Osteoarthritis; localized,740-740.99,Both,1,0,14,musculoskeletal,darkolivegreen, osteoarthritis,17691,380520
740.11,"Osteoarthrosis, localized, primary",740-740.99,Both,1,1,14,musculoskeletal,darkolivegreen, osteoarthritis,9069,380520
740.12,"Osteoarthrosis, localized, secondary",740-740.99,Both,1,1,14,musculoskeletal,darkolivegreen, osteoarthritis,348,380520
740.2,"Osteoarthrosis, generalized",740-740.99,Both,1,1,14,musculoskeletal,darkolivegreen, osteoarthritis,599,380520
740.3,"Osteoarthrosis involving more than one site, but not specified as generalized",740-740.99,Both,1,1,14,musculoskeletal,darkolivegreen, osteoarthritis,1,380520
740.9,Osteoarthrosis NOS,740-740.99,Both,1,1,14,musculoskeletal,darkolivegreen, osteoarthritis,12436,380520
741,Symptoms and disorders of the joints,741-742.99,Both,1,0,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,3634,402632
741.1,Ankylosis of joint,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,102,402632
741.2,Stiffness of joint,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,615,402632
741.3,Difficulty in walking,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,156,402632
741.4,Joint effusions,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,1425,402632
741.5,Hemarthrosis,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,111,402632
741.6,Villonodular synovitis,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,54,402632
742,"Derangement of joint, non-traumatic",741-742.99,Both,1,0,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,2912,402632
742.1,Loose body in joint,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,334,402632
742.2,"Pathological, developmental or recurrent dislocation",741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,96,402632
742.8,Articular cartilage disorder,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,500,402632
742.9,Other derangement of joint,741-742.99,Both,1,1,14,musculoskeletal,darkolivegreen, other non-traumatic joint disorders,1999,402632
743,"Osteoporosis, osteopenia and pathological fracture",743-744.99,Both,1,0,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",7692,401267
743.1,Osteoporosis,743-744.99,Both,1,0,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",6488,401267
743.11,Osteoporosis NOS,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",5625,401267
743.12,Senile osteoporosis,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",45,401267
743.13,Other specified osteoporosis,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",532,401267
743.2,Pathologic fracture,743-744.99,Both,1,0,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",523,401267
743.21,Pathologic fracture of vertebrae,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",1,401267
743.22,Pathologic fracture of femur,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",2,401267
743.4,Stress fracture,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",28,401267
743.9,Osteopenia or other disorder of bone and cartilage,743-744.99,Both,1,1,14,musculoskeletal,darkolivegreen," osteopenia, osteoporosis, pathological fractures",820,401267
745,Pain in joint,745-745.99,Both,1,1,14,musculoskeletal,darkolivegreen, Pain in joint,8037,400922
747,Cardiac and circulatory congenital anomalies,747-747.99,Both,1,0,15,congenital anomalies,mediumspringgreen," congenital anomalies, circulatory and cardiac",2830,406129
747.1,Cardiac congenital anomalies,747-747.99,Both,1,0,15,congenital anomalies,mediumspringgreen," congenital anomalies, circulatory and cardiac",2652,406129
747.11,Cardiac shunt/ heart septal defect,747-747.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies, circulatory and cardiac",588,406129
747.12,Valvular heart disease/ heart chambers,747-747.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies, circulatory and cardiac",236,406129
747.13,Congenital anomalies of great vessels,747-747.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies, circulatory and cardiac",1828,406129
747.2,Congenital anomalies of peripheral vascular system,747-747.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies, circulatory and cardiac",168,406129
748,"Anomalies of respiratory system, congenital",748-749.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies of respiratory system, face and neck",51,408585
749,Congenital anomalies of face and neck,748-749.99,Both,1,0,15,congenital anomalies,mediumspringgreen," congenital anomalies of respiratory system, face and neck",324,408585
749.1,Cleft palate,747-759.99,Both,1,1,15,congenital anomalies,mediumspringgreen,,30,401770
749.2,Congenital anomalies of skull and face bones,748-749.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies of respiratory system, face and neck",24,408585
750,Digestive congenital anomalies,750-751.99,Both,1,0,15,congenital anomalies,mediumspringgreen," congenital anomalies of gi, urinary tract",705,406726
750.1,Upper gastrointestinal congenital anomalies,750-751.99,Both,1,0,15,congenital anomalies,mediumspringgreen," congenital anomalies of gi, urinary tract",336,406726
750.11,Esophageal atresia/tracheoesophageal fistula,750-751.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies of gi, urinary tract",44,406726
750.13,Congenital anomalies of mouth/tongue,750-751.99,Both,1,1,15,congenital anomalies,mediumspringgreen," congenital anomalies of gi, urinary tract",193,406726
